and,i,0,0
sep,sept,1000000000,512
it,i,0,0
im,i'm,0,0
shebre,sheba,0,0
jun,june,1000000000,512
i,a,0,0
as,a,0,0
we,i,0,0
cuhtawa,chautauqua,0,0
des.,dec,0,0
showtucwa,chautauqua,0,0
i'v,i've,0,0
the,a,0,0
ester,easter,1000000,64
fab,feb,100000,32
i,i,1,1
mrss,mrs,100,4
hitlar,hitler,1,1
chaqua,chautauqua,0,0
a,i,0,0
i'ld,i'd,0,0
fench,french,1000000,64
badcock,badcock's,0,0
alot,a_lot,1000000000,512
septenber,september,1,1
ab,albert,0,0
chataqua,chautauqua,0,0
he,i,0,0
chtacu,chautauqua,0,0
chitacwa,chautauqua,0,0
chochatta,chautauqua,0,0
inglish,english,1,1
sechectaquka,chautauqua,0,0
and,a,0,0
chatacque,chautauqua,0,0
chautqua,chautauqua,0,0
chrismas,christmas,1,1
is,i,0,0
shawtapwa,chautauqua,0,0
chtoawa,chautauqua,0,0
satuarday,saturday,1,1
rowles,rolls,0,0
chatuaca,chautauqua,0,0
chuatackqua,chautauqua,0,0
mrs,mr,10000000,128
ah,a,0,0
ill,i'll,0,0
chateau,chautauqua,0,0
wdendsdy,wednesday,0,0
afew,a_few,10,2
chawtakque,chautauqua,0,0
ad,about,0,0
ameraca,america,1,1
i'me,i'm,0,0
thems,thames,0,0
abot,about,100000,32
iresh,irish,10,2
chautaucua,chautauqua,0,0
ld,i,0,0
chatocqua,chautauqua,0,0
chitalkwa,chautauqua,0,0
iev,i've,0,0
i'n,i'm,0,0
shitaka,chautauqua,0,0
christ_mas,christmas,1,1
alook,a_look,0,0
ile,i'll,0,0
vitiorian,victorian,1,1
of,about,0,0
luks,luke's,0,0
chata,chautauqua,0,0
showtalkwa,chautauqua,0,0
chituaquea,chautauqua,0,0
are,i,0,0
firday,friday,100000000,256
chatogua,chautauqua,0,0
lester,leicester,0,0
mis,mr,0,0
shawtachwa,chautauqua,0,0
chutouko,chautauqua,0,0
aduv,above,0,0
to,about,0,0
a_bof,above,100000000000,2048
arand,about,0,0
chouativa,chautauqua,0,0
sanday,sunday,1,1
sweedish,swedish,10,2
chataque,chautauqua,0,0
abou,above,0,0
chalktwa,chautauqua,0,0
has,i,0,0
shatacua,chautauqua,0,0
sutalkway,chautauqua,0,0
a_but,about,100000000,256
upbudh,above,0,0
catauqua,chautauqua,0,0
abel,able,0,0
chetdacowa,chautauqua,0,0
quatauqua,chautauqua,0,0
bechuarnia_land,bechuanaland,0,0
chactuquoe,chautauqua,0,0
alowe,above,0,0
abont,about,10,2
pikaness,pekinese,0,0
a_bother,above,0,0
wesh,welsh,1000,8
pyrannean,pyrenean,0,0
alittle,a_little,1,1
abilty,ability,1,1
sheto,chautauqua,0,0
apirl,april,0,0
asurb,absurd,0,0
chutaciqwa,chautauqua,0,0
aboo,about,0,0
septmber,september,1,1
abeserbed,absurd,0,0
schtaka,chautauqua,0,0
exrays,x-rays,0,0
christmis,christmas,1,1
chataque,chautauqua,0,0
aboat,above,0,0
a,above,0,0
abscered,absurd,0,0
alote,a_lot,0,0
chatacqua,chautauqua,0,0
shatakiwa,chautauqua,0,0
lot,a_lot,0,0
absord,absurd,10,2
febuary,february,1,1
bout,about,100000,32
abuot,about,0,0
estwood,eastwood,0,0
adout,about,10,2
absered,absurd,10000,16
scotts,scots,10,2
januery,january,1,1
feburary,february,1,1
abunt,about,0,0
abserb,absurd,1000000,64
freach,french,1000,8
alb,able,0,0
abilaty,ability,1,1
if,i,0,0
absense,absence,1,1
tuseday,tuesday,1,1
ameracan,american,1,1
ubove,above,1,1
iy,i,0,0
ablity,ability,1,1
amercia,america,100,4
shataqua,chautauqua,0,0
alitl,a_little,0,0
abost,above,0,0
adove,above,100,4
chuatuaton,chautauqua,0,0
chuatuaque,chautauqua,0,0
apselutely,absolutely,1,1
teusday,tuesday,1,1
chitiquea,chautauqua,0,0
ester,easter,1000000,64
abrod,abroad,1,1
abuve,above,10,2
urbote,about,0,0
adot,about,0,0
chetickway,chautauqua,0,0
absevered,absurd,0,0
a_bot,about,0,0
absorbed,absurd,0,0
chautauqua,chautauqua,0,0
absurred,absurd,100,4
abote,about,0,0
except,accept,10000000000000,8192
abbility,ability,1,1
abouse,abuse,100,4
abve,above,100,4
abowe,above,10,2
abou,about,100,4
a_buth,above,0,0
chattakqua,chautauqua,0,0
aball,able,0,0
feburay,february,10000000000,1024
shawtowa,chautauqua,0,0
abould,about,10000000000000,8192
absored,absurd,1000000000000,4096
absents,absence,100000,32
abserid,absurd,10,2
i'de,i'd,0,0
wensday,wednesday,100,4
actable,acceptable,0,0
cristmus,christmas,100,4
absolutly,absolutely,1,1
acepted,accepted,1,1
chauta,chautauqua,0,0
uove,above,0,0
chitalka,chautauqua,0,0
absorb,absurd,100000,32
perllips,philip's,0,0
acceptably,acceptable,10,2
urborth,above,0,0
a_bout,about,1,1
cristmas,christmas,1,1
accend,accident,0,0
aboat,about,10,2
execpted,accepted,0,0
obove,above,10,2
beneath,above,0,0
accademically,academically,1,1
indian's,indians,0,0
abahe,above,0,0
chataukwa,chautauqua,0,0
abbatoir,abattoir,1,1
i'ed,i'd,0,0
acceptiable,acceptable,1,1
acciendent,accident,1,1
mis,miss,100000000000,2048
chatwakwa,chautauqua,0,0
chetoquoi,chautauqua,0,0
absorbd,absurd,1000,8
shatakwa,chautauqua,0,0
aburve,absurd,0,0
abserbd,absurd,10,2
acs,accident,0,0
apuve,above,0,0
ackeptable,acceptable,1,1
chottago,chautauqua,0,0
exceptial,acceptable,0,0
an,a,0,0
doc,dr,0,0
abuf,above,0,0
abound,about,10000000000,1024
absred,absurd,10000000000000,8192
chatauchuia,chautauqua,0,0
adsurbed,absurd,0,0
achsends,accents,0,0
chicahwa,chautauqua,0,0
accesion,accession,1,1
canda,canada,1000000,64
aken,accident,0,0
aovere,above,0,0
chatauwkwa,chautauqua,0,0
upbuve,above,0,0
spanich,spanish,1,1
mixss,mrs,0,0
irland,ireland,10,2
abit,a_bit,10000,16
abserbed,absurd,0,0
aburd,absurd,1,1
abowt,about,10,2
a_buve,above,10,2
are,a,0,0
acddent,accident,100,4
crist,christ,100,4
cambrige,cambridge,1,1
abillity,ability,1,1
jaly,july,1,1
dunstan,dunstan's,0,0
ingish,english,1000000,64
absorbant,absorbent,1,1
chictique,chautauqua,0,0
chitacque,chautauqua,0,0
chatacuia,chautauqua,0,0
buft,above,0,0
chacactur,chautauqua,0,0
exded,accident,0,0
acident,accident,1,1
exsestible,acceptable,0,0
aciedent,accident,1,1
aboer,above,0,0
cheautauqua,chautauqua,0,0
chitaqua,chautauqua,0,0
unbove,above,1000000,64
munday,monday,100,4
harcent,accident,0,0
saterday,saturday,1,1
aboit,about,10,2
abule,able,100,4
chatauqua,chautauqua,0,0
actseptable,acceptable,1,1
abo,absorbed,0,0
acetable,acceptable,10000,16
apubed,absurd,0,0
abserded,absurd,0,0
able_bodied,able-bodied,1,1
a_pelt,about,0,0
acdent,accident,0,0
aciadent,accident,1,1
agisted,accident,0,0
absurbe,absurd,10,2
absolutley,absolutely,1,1
ackceptable,acceptable,1,1
adeaut,about,0,0
absurbed,absurd,1000,8
abserve,absurd,0,0
chataukowa,chautauqua,0,0
tusday,tuesday,1,1
ataren,accident,0,0
decmber,december,1,1
chautiqua,chautauqua,0,0
abserred,absurd,0,0
a_canet,accident,0,0
aciddent,accident,1,1
aquiver,a-quiver,0,0
acsdent,accident,100,4
about,above,0,0
a_bueve,above,1000000000,512
wedensday,wednesday,1,1
miss,mrs,0,0
accdient,accident,1,1
acept,accept,1,1
feirne,french,0,0
apsent,absent,10,2
andient,accident,0,0
along,a_long,0,0
apserved,absurd,0,0
asterdet,accident,0,0
